reading,filename,is_anomaly,anomaly_score,mean,std,max,min,rms,peak_to_peak,crest_factor,kurtosis,skewness,shape_factor,impulse_factor
1,2004.03.04.09.27.46,True,-0.013549220158651454,-0.004714599609375,0.07962882914738013,0.547,-0.569,0.07976827615574612,1.116,6.857362680522171,1.2927203346686973,0.030876998483633178,1.2943373006244718,8.87574030131006
2,2004.03.04.09.32.46,False,0.017434746373390486,-0.0051015136718749994,0.07851249214927551,0.491,-0.461,0.07867805834687569,0.952,6.240621722453801,1.1570370396433907,-0.01380656153334599,1.2945512408574393,8.078804594524458
3,2004.03.04.09.42.46,False,0.12039729587515813,-0.002241943359375,0.07978354021715714,0.515,-0.454,0.07981503366916146,0.9690000000000001,6.452418502192316,0.8901233177107852,0.033419801653429886,1.2833641148568977,8.280802359752311
4,2004.03.04.09.52.46,False,0.0358761891615752,-0.0025522460937499997,0.0810422705388718,0.52,-0.552,0.08108244923667976,1.072,6.413225117091856,1.1818613896563415,-0.027040058766136698,1.2871906067004022,8.255043129375725
5,2004.03.04.10.02.46,False,0.1630810229866516,-0.00253408203125,0.07912446133392566,0.369,-0.381,0.07916502986246517,0.75,4.66114900279922,0.5857981785526976,-0.01777529251070786,1.277998691167191,5.956942324912661
6,2004.03.04.10.12.46,False,0.16097391639934178,-0.0024278320312500004,0.07953503899856362,0.483,-0.432,0.0795720855380516,0.915,6.069967837766775,0.8347572200012277,0.043571823213536746,1.278551252176609,7.760764979648453
7,2004.03.04.10.22.46,False,0.1690088289008514,-0.0022083007812499994,0.08034387257771765,0.461,-0.422,0.08037421510114423,0.883,5.735670319391239,0.8307334095472525,0.05384431871144815,1.2809756244875004,7.347253869236612
8,2004.03.04.10.32.46,False,0.06346198602226505,-0.0009394042968750001,0.07845837925566897,0.498,-0.361,0.07846400293038443,0.859,6.346859469326849,0.9284290190464319,0.0986351590199569,1.284303825806613,8.151295898313402
9,2004.03.04.10.42.46,False,0.08042671710421234,-0.002206640625,0.08009425950166996,0.527,-0.415,0.08012465081339669,0.942,6.577251752738829,1.0057903237890358,0.08089992917205448,1.2916942293680074,8.495798134113357
10,2004.03.04.10.52.46,False,0.1738200765498814,-0.002475927734375,0.07830113212220995,0.396,-0.439,0.07834026748592084,0.835,5.054871686150017,0.8267012277317511,0.062068876577449035,1.2850906407810292,6.495968294220408
11,2004.03.04.11.02.46,False,0.13994031441914168,-0.0020475097656250003,0.07931877399984065,0.483,-0.415,0.07934519648395941,0.8979999999999999,6.087325022853076,0.9863431409943373,0.02616981502017735,1.2851446797371238,7.823093366950296
12,2004.03.04.11.12.46,False,0.06008498508736304,-0.0037388671875000002,0.07955263509815678,0.444,-0.596,0.07964044750568802,1.04,5.575056568690036,0.9838742124727893,-0.005843560526171655,1.2806323127629249,7.139597587345657
13,2004.03.04.11.22.46,False,0.14281522958974313,-0.0030008789062499997,0.08015267413569259,0.474,-0.439,0.08020883022032237,0.913,5.909573780068712,0.763032488204912,0.00991869309375891,1.279335364664552,7.56032672693628
14,2004.03.04.11.32.46,False,0.0525031530770772,-0.0019556152343750003,0.07882925595517,0.522,-0.564,0.07885350991167497,1.0859999999999999,6.619870194550632,1.093081530402383,0.01476563094703242,1.2826668427206465,8.491088001664771
15,2004.03.04.11.42.46,False,0.11057012914711295,-0.001905322265625,0.08144822257087467,0.505,-0.481,0.08147050517144609,0.986,6.198562276461656,0.8481798489148589,0.022317873836070996,1.2815780548551763,7.9439413851664025
16,2004.03.04.11.52.46,False,0.08649252536301355,-0.0023310546875,0.08126028764474308,0.549,-0.454,0.08129371540323704,1.0030000000000001,6.753289565827119,0.9500027052004851,0.05737724489392342,1.2848674700937315,8.677082079254683
17,2004.03.04.12.02.46,False,0.10900004068186653,-0.001437548828125,0.08155542417970972,0.4,-0.417,0.0815680927799935,0.817,4.9038782980850755,0.6662433692051577,0.008125901583522511,1.281489061321665,6.284266397048727
