reading,filename,is_anomaly,anomaly_score,bearing1_ch1_mean,bearing1_ch1_std,bearing1_ch1_max,bearing1_ch1_min,bearing1_ch1_rms,bearing1_ch1_peak_to_peak,bearing1_ch1_crest_factor,bearing1_ch1_kurtosis,bearing1_ch1_skewness,bearing1_ch1_shape_factor,bearing1_ch1_impulse_factor,bearing2_ch1_mean,bearing2_ch1_std,bearing2_ch1_max,bearing2_ch1_min,bearing2_ch1_rms,bearing2_ch1_peak_to_peak,bearing2_ch1_crest_factor,bearing2_ch1_kurtosis,bearing2_ch1_skewness,bearing2_ch1_shape_factor,bearing2_ch1_impulse_factor,bearing3_ch1_mean,bearing3_ch1_std,bearing3_ch1_max,bearing3_ch1_min,bearing3_ch1_rms,bearing3_ch1_peak_to_peak,bearing3_ch1_crest_factor,bearing3_ch1_kurtosis,bearing3_ch1_skewness,bearing3_ch1_shape_factor,bearing3_ch1_impulse_factor,bearing4_ch1_mean,bearing4_ch1_std,bearing4_ch1_max,bearing4_ch1_min,bearing4_ch1_rms,bearing4_ch1_peak_to_peak,bearing4_ch1_crest_factor,bearing4_ch1_kurtosis,bearing4_ch1_skewness,bearing4_ch1_shape_factor,bearing4_ch1_impulse_factor
1,2004.02.12.10.32.39,True,-0.1240180559998516,-0.010195996093750001,0.07347493104305192,0.454,-0.386,0.07417899856512623,0.8400000000000001,6.120330670161392,0.6287626426442556,0.08399343541253228,1.2716598450872434,7.782978751900141,-0.012694970703124999,0.09005347464156324,0.464,-0.513,0.09094388696428075,0.9770000000000001,5.102047157740699,0.5068005370841773,0.12691486043827804,1.2660708845413229,6.459553357972308,-0.014540966796874999,0.10843350938911968,1.023,-0.911,0.10940413919878957,1.934,9.350651698298067,3.213074668222573,0.204839716409692,1.3142540226819774,12.2891316091863,-0.0100259765625,0.0531663902091768,0.193,-0.264,0.05410346803954669,0.457,3.567238977341111,0.06595905114862788,-0.022080008834997857,1.2563228062744947,4.481603682664943
2,2004.02.12.10.42.39,False,0.10172509972110616,-0.002585009765625,0.07533812128951385,0.369,-0.388,0.07538245681139528,0.757,4.895038124363965,0.648291081310854,0.052141907331332595,1.277741723778731,6.254594450987419,-0.0025609375,0.09338377948549788,0.457,-0.481,0.09341888819652586,0.938,4.891944325419571,0.25301376937623843,0.07008844936856538,1.2622758151500963,6.174983011037878,-0.002460791015625,0.10978975747066774,0.752,-0.681,0.10981733168262023,1.433,6.847735129581664,1.3952499379815348,-0.023853576139170517,1.3005550505838823,8.90585650783811,-0.0037836914062500003,0.055973118789277056,0.249,-0.229,0.05610085870694182,0.478,4.43843473592302,0.10753933160081752,0.001582414617422172,1.2595629211822346,5.590487821455899
3,2004.02.12.10.52.39,False,0.006527266105255336,-0.0024839843749999996,0.0761892927992494,0.503,-0.4,0.07622977446919937,0.903,6.5984715749518195,0.513475308823208,0.03280799811503518,1.2654562485747707,8.350077085565788,-0.0016954589843750003,0.0937025602830463,0.491,-0.503,0.0937178978891739,0.994,5.239127328492067,0.310789228477665,0.09658256297861974,1.2626447843593411,6.615156795914997,-0.0015954589843750003,0.10984946406227844,0.933,-0.786,0.10986104971344769,1.719,8.492545833428304,2.639947862656677,0.056560666319352165,1.309081836807945,11.117437498799985,-0.0034853515625,0.05603693397230999,0.354,-0.334,0.0561452192491155,0.688,6.305078237014397,0.25723641276594833,0.07044906046529774,1.2633371387187096,7.965439499347374
4,2004.02.12.11.02.39,True,-0.14485272006325023,-0.002276611328125,0.07869075089989153,0.608,-0.576,0.07872367646602974,1.184,7.723216537814513,1.1579527230048088,0.04148596171613031,1.2810331258938081,9.893696223391279,-0.0023928222656249996,0.09291629369506194,0.569,-0.474,0.09294709910708282,1.043,6.121761792097077,0.23534074042490039,0.10583404042688352,1.2587104269920435,7.705525399274089,-0.00314794921875,0.1106217530671688,1.016,-0.935,0.11066653439923697,1.951,9.1807338642657,2.6827791177441718,0.03355008488846847,1.310246113398952,12.029020863804279,-0.003740771484375,0.05668413146164508,0.513,-0.525,0.05680743024340544,1.038,9.03050882255939,0.8061900787493546,-0.03632709701957426,1.2601162308219922,11.379490739888286
5,2004.02.12.11.12.39,False,0.1543569721918442,-0.002403857421875,0.07843746411081838,0.391,-0.391,0.07847429073677968,0.782,4.982523528775831,0.6031769286310373,0.028223944368193307,1.2788955235683805,6.372127037025542,-0.001559033203125,0.09533522183796202,0.452,-0.486,0.09534796855424806,0.938,4.740530992465093,0.22630879489770805,0.0979656333163101,1.2611098132940761,5.978330154822435,-0.0011584960937500001,0.10749935762927616,0.745,-0.771,0.1075055998723148,1.516,6.929871568409851,1.5783946520336105,-0.0028921584715915984,1.2978012829885877,8.993596212428441,-0.002702587890625,0.05677665581598279,0.244,-0.212,0.05684094146786386,0.45599999999999996,4.292680481690301,0.13895379679433084,0.0190075166958847,1.2598198110456684,5.408003913322503
6,2004.02.12.11.22.39,False,0.07515176911821947,-0.001623095703125,0.07829782000144782,0.439,-0.366,0.07831464139380723,0.8049999999999999,5.605592928562068,0.45609362146286525,0.026852972301411062,1.269929282418339,7.118706605298142,-0.0014525878906250002,0.09239330152210379,0.574,-0.386,0.09240471945595839,0.96,6.211803935767348,0.18563759722622164,0.06080463418952149,1.2609725273493722,7.8329141082833305,-0.0008415527343749998,0.11051402335158485,0.862,-0.781,0.11051722747318345,1.643,7.799688968936184,1.8624281531683406,0.07741403699776964,1.3019535224303806,10.15483252696785,-0.0028218261718750003,0.05549422955454555,0.247,-0.242,0.055565926760892545,0.489,4.4451701680937195,0.14940733837719256,0.012741574472742679,1.2579828767631305,5.591947955760185
7,2004.02.12.11.32.39,False,0.12690649316441444,-0.0016064453124999996,0.07861603186545633,0.388,-0.408,0.07863244325857172,0.796,4.934350045872499,0.4786149756059892,0.05859457915072469,1.2694129000321206,6.263727601504637,-0.0016959472656250002,0.09390317165909705,0.583,-0.457,0.09391848531980074,1.04,6.20751067284394,0.2501083955512966,0.09921385444321504,1.2590903153596724,7.815816570669608,-0.00185634765625,0.10737186617198258,0.896,-0.718,0.10738791213109136,1.6139999999999999,8.34358339052377,1.82203297869229,0.14561675932802473,1.2997285311169209,10.844393384417,-0.0029048828125,0.05620405793625485,0.239,-0.217,0.05627907668624504,0.45599999999999996,4.246693692798502,0.10779375483252984,-0.019774749352839485,1.2602153620200898,5.351748629458496
8,2004.02.12.11.42.39,False,0.13957421823409472,-0.0020266601562500004,0.07774646967579023,0.415,-0.334,0.07777288022464836,0.749,5.336050289011607,0.4719824550317826,0.0825818179550488,1.2701481055302222,6.777574165602088,-0.0017436523437500003,0.09322421104069686,0.41,-0.41,0.09324051612714428,0.82,4.397230056523039,0.1037504492141541,0.0869128229556518,1.257108736511918,5.527796320507907,-0.0017033203125000004,0.10621897924323846,0.771,-0.776,0.10623263552958902,1.5470000000000002,7.2576567093193605,1.4448963659987744,0.0014656274776145104,1.2951883126140669,9.400032146875503,-0.0023300292968750002,0.05545575654680791,0.229,-0.227,0.05550468422307369,0.456,4.125777908755367,0.20979100466934808,-0.017148859775742896,1.2660714632130814,5.223529673830115
9,2004.02.12.11.52.39,False,0.05915112212699836,-0.0019162109375,0.07900619543360511,0.386,-0.361,0.07902942984262255,0.747,4.884256419015951,0.404514320897305,-0.008060293710742161,1.2689100800902766,6.197682203834979,-0.0008009765625,0.09585589739527024,0.457,-0.613,0.09585924383650357,1.07,4.767406686197671,0.45142640681747537,0.03530401451886102,1.2644969790200864,6.028371352457116,-0.0013142089843750002,0.11057860941703311,0.967,-0.769,0.11058641872246056,1.736,8.744292573818544,2.3845540569234327,0.03416131914349388,1.310678881851327,11.460959613233353,-0.002539111328125,0.05579735616208901,0.227,-0.33,0.05585509861253156,0.557,4.064087355295988,0.15983731154509373,0.008342651967002448,1.2615980725900653,5.127244774279074
10,2004.02.12.12.02.39,False,0.13028415317673675,-0.0020966308593750003,0.07568852631669243,0.378,-0.344,0.07571755989830314,0.722,4.9922369461944465,0.3252033150483178,0.04632106694487995,1.2642175979367836,6.311273800449207,-0.0017168945312499996,0.09472631335134558,0.417,-0.466,0.09474187125009063,0.883,4.401433014756937,0.19603235889333703,0.08951343846820298,1.2612607990693245,5.5513549212424405,-0.0018962402343750003,0.10975436897591669,0.781,-0.664,0.10977074854590418,1.445,7.114828042494396,1.4615057334105153,0.00629930133164359,1.2990013123577435,9.242170964399897,-0.0027732910156249998,0.055390229807381446,0.291,-0.254,0.0554596132439803,0.5449999999999999,5.247061473721794,0.20610664754092234,0.029685526458732514,1.2612393487520628,6.617800395978914
