reading,filename,is_anomaly,anomaly_score,mean,std,max,min,rms,peak_to_peak,crest_factor,kurtosis,skewness,shape_factor,impulse_factor
1,2004.03.04.09.27.46,False,0.007963554996014977,-0.004330859375,0.055323314663487264,0.254,-0.303,0.05549257146935299,0.5569999999999999,4.577189221448806,0.5600537498351637,0.03884780284644323,1.276433477273681,5.842477554073511
2,2004.03.04.09.32.46,False,0.059190368179127706,-0.006725439453125001,0.05292505164017768,0.212,-0.249,0.053350657230751386,0.46099999999999997,3.973709247536747,0.35603597591243474,0.01390480422597673,1.2691191260670605,5.043110407478432
3,2004.03.04.09.42.46,False,0.08646974420438702,-0.0032000976562500004,0.05260589209207428,0.278,-0.278,0.052703135654460824,0.556,5.274828462250518,0.4782946936342385,0.034237889676966456,1.2742760279979854,6.721587461247312
4,2004.03.04.09.52.46,False,0.048414983477312434,-0.00437880859375,0.054669169786480676,0.269,-0.3,0.05484425302475866,0.569,4.904798318222399,0.3420583992182413,0.007403871108079758,1.2716557661531829,6.237215063185948
5,2004.03.04.10.02.46,False,0.1631745834053498,-0.00344267578125,0.05380412096376953,0.227,-0.247,0.053914148877810826,0.474,4.210397543592221,0.2617782530621393,0.02347494390171871,1.2650161644206361,5.326220951281099
6,2004.03.04.10.12.46,False,0.07652101127089861,-0.0030773437500000002,0.05326426483646739,0.271,-0.3,0.05335308756880898,0.571,5.079368642920503,0.4817425275901468,0.04741519966594487,1.2692255898612699,6.446864661933613
7,2004.03.04.10.22.46,False,0.012452679811757572,-0.0031586914062499997,0.05523194798987568,0.242,-0.337,0.05532219636055902,0.579,4.374374408831852,0.45669514219091,-0.048172258008538436,1.270724820398298,5.558626135017766
8,2004.03.04.10.32.46,False,0.14452837390126683,-0.0030425781249999997,0.05377972055852718,0.239,-0.234,0.053865718458032286,0.473,4.436959291394378,0.3345211064493272,0.032144309224563544,1.2705642071892733,5.637441664401577
9,2004.03.04.10.42.46,False,0.07090882638472074,-0.003075830078125,0.05517400353259565,0.281,-0.293,0.05525967242469299,0.5740000000000001,5.085082623009436,0.39240200526104907,0.03172764083149572,1.269164835441523,6.453808050438318
10,2004.03.04.10.52.46,False,0.11075225123087962,-0.0032265136718749995,0.05425179027642386,0.269,-0.256,0.05434765071897658,0.525,4.949615971276441,0.3937555158658954,0.0279027988054248,1.2724775000481763,6.298274957328372
