reading,bearing1_score,bearing1_anomaly,bearing2_score,bearing2_anomaly,bearing3_score,bearing3_anomaly,bearing4_score,bearing4_anomaly,machine_score,machine_anomaly
1,-0.07252089463562283,True,-0.0842896035401125,True,-0.08396634136788428,True,0.0010688572521238004,False,-0.0842896035401125,True
2,0.10397811924505451,False,0.1266150593419516,False,0.1441599444764985,False,0.248735052561239,False,0.10397811924505451,False
3,0.05527212908895329,False,0.17687074734994063,False,0.11428784565868966,False,0.02499422879233404,False,0.02499422879233404,False
4,-0.1739645904014071,True,0.10677503259100007,False,0.027307680971785486,False,-0.14752106239777496,True,-0.1739645904014071,True
5,0.15025252370050196,False,0.2507442329482134,False,0.19788521549038834,False,0.21041199375032255,False,0.15025252370050196,False
6,0.19585656547602515,False,0.04966948917315661,False,0.0941507285837675,False,0.2929811768708059,False,0.04966948917315661,False
7,0.1847319356797965,False,0.15479379926993336,False,0.16548078302821184,False,0.2606596898737653,False,0.15479379926993336,False
8,0.14869979632189717,False,0.15270479662817538,False,0.23784445653510672,False,0.1956567182648793,False,0.14869979632189717,False
9,0.20733730980874449,False,0.021780634618170924,False,0.10876000537175856,False,0.18293921681935055,False,0.021780634618170924,False
10,0.1699886326358679,False,0.23262444336351595,False,0.1591082550778392,False,0.21803022328569216,False,0.1591082550778392,False
11,0.19712657159529717,False,0.19362663734396324,False,0.2082772741262393,False,0.21382377851339274,False,0.19362663734396324,False
12,0.12360585710375444,False,0.06581082169723418,False,0.2190687719156998,False,0.26361333264374354,False,0.06581082169723418,False
13,0.22744553534750395,False,0.1223545026895132,False,0.23005483625636053,False,0.24692764754654062,False,0.1223545026895132,False
14,0.09220172029129137,False,0.2096503680405301,False,0.2206923890590991,False,0.2666444262710034,False,0.09220172029129137,False
15,0.17754042881760196,False,0.23485653971644266,False,0.26131279386382933,False,0.2732602494966295,False,0.17754042881760196,False
16,0.15437199239098454,False,0.21111747491296684,False,0.26190950130787066,False,0.20220072718482013,False,0.15437199239098454,False
17,0.18881475794547747,False,0.2607837060857115,False,0.14922326687070986,False,0.22092728292713565,False,0.14922326687070986,False
18,0.19944612009615753,False,0.16510453263198094,False,0.1871271418878213,False,0.1697134414498992,False,0.16510453263198094,False
19,0.19733204132334559,False,0.22492833987887,False,0.23233378454107295,False,0.28580708521389825,False,0.19733204132334559,False
20,0.09994914654756848,False,0.23321300360143232,False,0.1499000104123,False,0.2741214608686122,False,0.09994914654756848,False
21,0.1794974792540599,False,0.2561005309072655,False,0.21725792328160964,False,0.28079666913353213,False,0.1794974792540599,False
22,0.16858065078616163,False,0.18285900817202333,False,0.22328102382683884,False,0.2767110903248279,False,0.16858065078616163,False
23,0.10834720269618858,False,0.1879166346448758,False,0.1052567500974586,False,0.2086448817235247,False,0.1052567500974586,False
24,0.14285075841353667,False,0.21921482070031462,False,0.24411885685052592,False,0.22307155675281237,False,0.14285075841353667,False
25,0.15572227730870258,False,0.004411756439801406,False,0.16380070295660737,False,0.22443438332464666,False,0.004411756439801406,False
26,0.17436646055007787,False,0.15420626995087072,False,0.17950909136379561,False,0.2761591925294486,False,0.15420626995087072,False
27,0.2011733162729229,False,0.22223516533635923,False,0.1406138429537036,False,0.2997311723374112,False,0.1406138429537036,False
28,0.20507908946782816,False,0.249858830731627,False,0.11680738799968438,False,0.2677036334832902,False,0.11680738799968438,False
29,0.18431522671590522,False,0.20199791632763775,False,0.14563768104170405,False,0.2789229810197954,False,0.14563768104170405,False
30,0.12290806426584522,False,0.20300906654937778,False,0.21917940972023142,False,0.21380212727834214,False,0.12290806426584522,False
31,0.22414606889256583,False,0.23308028143422804,False,0.23187004530482214,False,0.22737639498203155,False,0.22414606889256583,False
32,0.13159050406650796,False,0.23112069703969318,False,0.2540991987638339,False,0.24849073133841837,False,0.13159050406650796,False
33,0.1957278548780551,False,0.23538921919922423,False,0.22997025727566905,False,0.1866495435781801,False,0.1866495435781801,False
34,0.21033568899510535,False,0.2423325776336246,False,0.17913783546657513,False,0.2507094305268314,False,0.17913783546657513,False
35,0.13148273388418003,False,0.09287577621818666,False,0.1898581512353985,False,0.2794555916300811,False,0.09287577621818666,False
36,0.2124450618279775,False,0.16709899079032697,False,0.2230604735765801,False,0.2671359383857677,False,0.16709899079032697,False
37,0.22613189095104186,False,0.25381956629777996,False,0.21791999104478632,False,0.19349293341361073,False,0.19349293341361073,False
38,0.09316879354880436,False,0.21478201188201806,False,0.21265124043515837,False,0.2454136177898969,False,0.09316879354880436,False
