mean,std,max,min,rms,peak_to_peak,crest_factor,kurtosis,skewness,shape_factor,impulse_factor,reading,filename,progress,is_anomaly,anomaly_score
-0.0100259765625,0.0531663902091768,0.193,-0.264,0.05410346803954669,0.457,3.567238977341111,0.06595905114862788,-0.022080008834997857,1.2563228062744947,4.481603682664943,1,2004.02.12.10.32.39,0.0,False,0.0010688572521238004
-0.0037836914062500003,0.055973118789277056,0.249,-0.229,0.05610085870694182,0.478,4.43843473592302,0.10753933160081752,0.001582414617422172,1.2595629211822346,5.590487821455899,2,2004.02.12.10.42.39,0.10162601626016261,False,0.248735052561239
-0.0034853515625,0.05603693397230999,0.354,-0.334,0.0561452192491155,0.688,6.305078237014397,0.25723641276594833,0.07044906046529774,1.2633371387187096,7.965439499347374,3,2004.02.12.10.52.39,0.20325203252032523,False,0.02499422879233404
-0.003740771484375,0.05668413146164508,0.513,-0.525,0.05680743024340544,1.038,9.03050882255939,0.8061900787493546,-0.03632709701957426,1.2601162308219922,11.379490739888286,4,2004.02.12.11.02.39,0.3048780487804878,True,-0.14752106239777496
-0.002702587890625,0.05677665581598279,0.244,-0.212,0.05684094146786386,0.45599999999999996,4.292680481690301,0.13895379679433084,0.0190075166958847,1.2598198110456684,5.408003913322503,5,2004.02.12.11.12.39,0.40650406504065045,False,0.21041199375032255
-0.0028218261718750003,0.05549422955454555,0.247,-0.242,0.055565926760892545,0.489,4.4451701680937195,0.14940733837719256,0.012741574472742679,1.2579828767631305,5.591947955760185,6,2004.02.12.11.22.39,0.5081300813008129,False,0.2929811768708059
-0.0029048828125,0.05620405793625485,0.239,-0.217,0.05627907668624504,0.45599999999999996,4.246693692798502,0.10779375483252984,-0.019774749352839485,1.2602153620200898,5.351748629458496,7,2004.02.12.11.32.39,0.6097560975609756,False,0.2606596898737653
-0.0023300292968750002,0.05545575654680791,0.229,-0.227,0.05550468422307369,0.456,4.125777908755367,0.20979100466934808,-0.017148859775742896,1.2660714632130814,5.223529673830115,8,2004.02.12.11.42.39,0.7113821138211381,False,0.1956567182648793
-0.002539111328125,0.05579735616208901,0.227,-0.33,0.05585509861253156,0.557,4.064087355295988,0.15983731154509373,0.008342651967002448,1.2615980725900653,5.127244774279074,9,2004.02.12.11.52.39,0.8130081300813009,False,0.18293921681935055
-0.0027732910156249998,0.055390229807381446,0.291,-0.254,0.0554596132439803,0.5449999999999999,5.247061473721794,0.20610664754092234,0.029685526458732514,1.2612393487520628,6.617800395978914,10,2004.02.12.12.02.39,0.9146341463414633,False,0.21803022328569216
-0.0030745605468749998,0.05543830376832632,0.291,-0.249,0.05552349455199686,0.54,5.241024585141758,0.17440896332483513,0.036172489638983056,1.2570416884625326,6.58818639378024,11,2004.02.12.12.12.39,1.0162601626016259,False,0.21382377851339274
-0.0027769042968750005,0.05470372691209322,0.229,-0.276,0.05477416302917713,0.505,4.1808032717545345,0.11005504146137435,0.0015078217586126277,1.2561601251905585,5.251758361244272,12,2004.02.12.12.22.39,1.1178861788617886,False,0.26361333264374354
-0.003140380859375,0.05459959426227402,0.234,-0.222,0.054689831646722725,0.456,4.278674718027266,0.04491899115284781,-0.033690120338111765,1.2565816290267868,5.37650404725443,13,2004.02.12.12.32.39,1.2195121951219512,False,0.24692764754654062
-0.002895263671875,0.056179461127419124,0.247,-0.266,0.0562540167836651,0.513,4.3907975665076995,0.10238368110662588,0.0034770499788080093,1.2590939146275733,5.528426496351402,14,2004.02.12.12.42.39,1.321138211382114,False,0.2666444262710034
-0.0030357910156250003,0.055549112896720286,0.22,-0.227,0.05563200491356684,0.447,3.9545581781890653,0.0799000452087415,0.010891921292744113,1.2573272806656737,4.972173880416658,15,2004.02.12.12.52.39,1.4227642276422763,False,0.2732602494966295
-0.003251123046875,0.056228963720163415,0.291,-0.247,0.056322874235157555,0.538,5.166639734773222,0.19387118398007308,0.0370610988828819,1.2603926685162308,6.511994842572813,16,2004.02.12.13.02.39,1.524390243902439,False,0.20220072718482013
-0.002717138671875,0.056113860594305724,0.276,-0.3,0.05617960656109453,0.5760000000000001,4.9128147542267655,0.21398033827271457,-0.020015572191707517,1.2609867335920746,6.19499422967536,17,2004.02.12.13.12.39,1.6260162601626018,False,0.22092728292713565
-0.0027646484375000004,0.05476019882421017,0.308,-0.278,0.054829943062618625,0.5860000000000001,5.617368590885606,0.20295430083462174,-0.03361214881045859,1.2609906681187613,7.083449372490184,18,2004.02.12.13.22.39,1.7276422764227644,False,0.1697134414498992
-0.003074755859375,0.055541221384568185,0.229,-0.222,0.055626265347265356,0.451,4.116760285278758,0.0922079817125856,-0.00042872143229701396,1.2597722623212528,5.186180418019907,19,2004.02.12.13.32.39,1.8292682926829267,False,0.28580708521389825
-0.0030700195312500004,0.05467779985043284,0.215,-0.229,0.054763918928490224,0.444,3.925942558653322,0.08156366142840543,-0.015972648918385495,1.257374028470588,4.936378210518055,20,2004.02.12.13.42.39,1.9308943089430894,False,0.2741214608686122
